run,time
1526,4696056
1527,4666933
1528,4677973
1529,4688205
1530,4705829
1531,4769008
1532,4683600
1533,4620850
1534,4570373
1535,4617331
1536,4722310
1537,4638172
1538,4520212
1539,4745497
1540,4727301
1541,4878014
1542,4967251
1543,5061672
1544,4971862
1545,4735927
1546,5076557
1547,5024790
1548,6474376
1549,4915028
1550,5066338
1551,4838820
1552,4994827
1553,5262840
1554,5211734
1555,5370676
1556,5024725
1557,4856832
1558,5262184
1559,5116454
1560,5922792
1561,4996105
1562,6395189
1563,6659145
1564,6426982
1565,4766975
1566,4731773
1567,5246792
1568,4747515
1569,4804467
1570,4701350
1571,4818236
1572,4911185
1573,5293668
1574,4693751
1575,4543402
1576,4656404
1577,4749010
1578,4604267
1579,4674560
1580,7880185
1581,4946692
1582,4781914
1583,5103813
1584,5081780
1585,4881991
1586,5239198
1587,5856482
1588,5089799
1589,5090602
1590,4894557
1591,5034221
1592,4975923
1593,4948739
1594,5055007
1595,5012148
1596,5915364
1597,4749868
1598,4890182
1599,5022422
1600,4795795
1601,4814230
1602,4613824
1603,4344714
1604,4787093
1605,4652767
1606,4445214
1607,4604379
1608,5078489
1609,5303676
1610,4720484
1611,4686264
1612,4570433
1613,4745484
1614,4693140
1615,4784536
1616,5531538
1617,7543345
1618,8153958
1619,8706264
1620,6334125
1621,4918188
1622,4964044
1623,4792442
1624,4940769
1625,4860664
1626,5205748
1627,5233622
1628,4932077
1629,4768183
1630,4784464
1631,5061770
1632,5107046
1633,5081500
1634,4996259
1635,4951947
1636,4913768
1637,4785507
1638,4933074
1639,4731787
1640,4856705
1641,4723139
1642,4697039
1643,4710602
1644,4694691
1645,4971959
1646,4717247
1647,4730159
1648,4557196
1649,4770793
1650,5005028
1651,4646955
1652,4698546
1653,4635220
1654,4998264
1655,4766759
1656,4829851
1657,4976469
1658,5889315
1659,4893476
1660,5105816
1661,5036306
1662,5062433
1663,6074691
1664,4762290
1665,4841360
1666,4866822
1667,4932923
1668,5030929
1669,5108969
1670,5095577
1671,4938099
1672,5011107
1673,4777987
1674,4828902
1675,4812127
1676,4757064
1677,4777936
1678,4655911
1679,4552905
1680,4546817
1681,4880886
1682,4632333
1683,4725783
1684,4933986
1685,4660406
1686,4716018
1687,4600748
1688,4618568
1689,4767955
1690,4604479
1691,4716118
1692,4887478
1693,4855355
1694,4852821
1695,4797014
1696,4743698
1697,5150843
1698,5029750
1699,4981400
1700,5082457
1701,4806117
1702,5189237
1703,5104253
1704,5669744
1705,5185545
1706,4988127
1707,5335816
1708,5211008
1709,5270418
1710,5125599
1711,5049272
1712,5256888
1713,4805344
1714,5188899
1715,4744358
1716,4954407
1717,4926701
1718,4825260
1719,4799850
1720,5661209
1721,4854974
1722,4791352
1723,4947895
1724,4678655
1725,4765646
1726,5683950
1727,4738860
1728,4674493
1729,4824825
1730,4783999
1731,5059512
1732,5035290
1733,6059100
1734,5212451
1735,4982591
1736,4942358
1737,5206815
1738,5125259
1739,5954953
1740,5141612
1741,5072583
1742,4869168
1743,5224825
1744,5163732
1745,5713081
1746,5041205
1747,5738082
1748,5021285
1749,4940152
1750,5993328
1751,5144336
1752,5014105
1753,4916749
1754,4757837
1755,5145937
1756,5187922
1757,5767939
1758,4832686
1759,4813286
1760,4642735
1761,4699025
1762,4859045
1763,4608686
1764,5036357
1765,4852604
1766,4418280
1767,4676875
1768,4587812
1769,4903173
1770,4831019
1771,4783200
1772,5684924
1773,5138289
1774,5036955
1775,5086016
1776,4922284
1777,4952687
1778,8021163
1779,5031033
1780,4873763
1781,5068581
1782,4797810
1783,5027290
1784,6080553
1785,5173763
1786,5135995
